"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C6,C7,C8,C9,C10,C11,C12","10","100 nF","","","","","~"
"C4","1","4.7µ","","","","","~"
"C5","1","10µ","","","","","~"
"D1","1","BAT54S","","","","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf"
"H1,H2,H3,H4","4","MountingHole_Pad","","Exclure de la Liste du Matériel","","","~"
"IC1","1","PGA849RGTR","","","","Empreintes:QFN50P300X300X100-17N-D","https://www.ti.com/lit/ds/symlink/pga849.pdf?ts=1751466447660&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FPGA849"
"J1","1","Conn_Coaxial","","","","","~"
"J2","1","Conn_01x06_Socket","","","","Connector_Harwin:Harwin_M20-89006xx_1x06_P2.54mm_Horizontal","~"
"J3","1","PILES_3AA","","","","","~"
"J4","1","Conn_01x05_Pin","","","","","~"
"L1","1","4,7µ","","","","","~"
"PS1","1","TSM_0515D","","","","Empreintes:TSM0515D","https://tracopower.com/tsm-datasheet/"
"R1,R2,R4","3","1k","","","","","~"
"R3","1","9k","","","","","~"
"R5","1","300","","","","","~"
"SW1","1","SW_SPST","","","","","~"
"U1","1","MCP6001-OT","","","","Package_TO_SOT_SMD:SOT-23-5","https://ww1.microchip.com/downloads/en/DeviceDoc/MCP6001-1R-1U-2-4-1-MHz-Low-Power-Op-Amp-DS20001733L.pdf"
"U2","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
"U3","1","MCP1640x-xCHY","","","","Package_TO_SOT_SMD:SOT-23-6","http://ww1.microchip.com/downloads/en/DeviceDoc/20002234D.pdf"
"U4","1","STM32L476RGTx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32l476rg.pdf"
